Category,Latitude,Longitude,Distance (km),Name,Address,City,PostCode
pharmacy,30.427175,-9.584439,0.74,Pharmacie Ennahda صيدلية النهضة,Unknown,Agadir,80000
pharmacy,30.423577,-9.587789,0.51,Pharmacie El Hajjouji صيدلية الحجوجي,Unknown,Agadir,80000
pharmacy,30.422058,-9.595353,1.12,Pharmacie et Laboratoire Tahiri صيدلية ومختبر الطاهري,Unknown,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,80013
pharmacy,30.423639,-9.571625,1.22,Pharmacie Bouargan صيدلية بواركان,Unknown,AGADIR,80016
pharmacy,30.427864,-9.565756,1.92,Pharmacie Argane صيدلية أركان,Unknown,Agadir,80000
pharmacy,30.426657,-9.577646,0.91,Pharmacie Bousaid صيدلية بوسعيد,Unknown,Agadir,80000
pharmacy,30.430617,-9.577182,1.29,Pharmacie Ouahbi صيدلية وهبي,Unknown,Agadir,80000
pharmacy,30.430938,-9.580187,1.21,Pharmacie Les Amicales صيدلية ليزاميكال,Unknown,Agadir,80000
pharmacy,30.427033,-9.588833,0.87,Pharmacie Moulay Youssef صيدلية مولاي يوسف,Unknown,Agadir,80000
pharmacy,30.423867,-9.592697,0.93,Pharmacie Talberjt صيدلية تلبرجت,Unknown,Agadir,80005
pharmacy,30.422844,-9.600835,1.65,Pharmacie La Mosquée Du Liban صيدلية مسجد لبنان,Unknown,Agadir أكادير,80000
pharmacy,30.435891,-9.586828,1.73,Pharmacie Hôpital Hassan II صيدلية مستشفى الحسن الثاني,Unknown,Agadir,80000
pharmacy,30.428702,-9.590452,1.11,Pharmacie Des FAR صيدلية الجيش الملكي,Unknown,Agadir,80000
pharmacy,30.436032,-9.573726,1.98,Pharmacie El Ouazzani صيدلية الوزاني,Unknown,Agadir,80000
pharmacy,30.418070,-9.593904,1.00,Pharmacie 2000 صيدلية,Avenue Prince Moulay Abdellah,Agadir,80000
pharmacy,30.432721,-9.589791,1.47,Pharmacie Charaf صيدلية شرف,Unknown,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,80000
pharmacy,30.409047,-9.587305,1.32,Pharmacie Ben Rahal صيدلية بن رحال,Rue de Fès,Agadir,80000
pharmacy,30.427509,-9.571836,1.39,Pharmacie Errami صيدلية الرامي,Unknown,Agadir,80000
pharmacy,30.413734,-9.592731,1.14,Pharmacie Inbiaat صيدلية الإنبعاث,Avenue Hassan II شارع الحسن الثاني,Agadir,80000
pharmacy,30.415994,-9.575768,0.92,Pharmacie Iqbal صيدلية إقبال,Avenue Mohamed Ikbal,Agadir,80000
pharmacy,30.413313,-9.568272,1.70,Pharmacie Soufi صيدلية الصوفي,Boulevard Mohammed Ben Abdelkrim al Khattabi,Agadir,80000
pharmacy,30.407143,-9.597328,1.97,Pharmacie Valtur صيدلية فالتور,Unknown,Agadir أݣادير,80000
pharmacy,30.412421,-9.598495,1.67,Pharmacy 78,Unknown,Unknown,0
