Category,Latitude,Longitude,Distance (km),Name,Address,City,PostCode
supermarket,30.432882,-9.590920,1.53,Supermarket 1,Unknown,Unknown,0
supermarket,30.425983,-9.592505,1.03,Carrefour market Label'vie,Avenue Yacoub Al Mansour,Agadir,80000
supermarket,30.426318,-9.592434,1.05,Aswak Assalam,Avenue Yaacoub EL Mansour,Agadir,80000
supermarket,30.414060,-9.593466,1.17,Carrefour Market,Unknown,Unknown,0
supermarket,30.419083,-9.577825,0.60,Carrefour,Unknown,Unknown,0
supermarket,30.421023,-9.594161,0.99,Supermarket 6,Unknown,Unknown,0
supermarket,30.420632,-9.599365,1.49,uniprix,Unknown,Unknown,0
